RowName,RecipeName,ShortDesc,RecipeType,TimeToCraft,Tier,CraftXP,CraftingStations,RequiredFuel,Icon,BuildingModule,DestroyStationOnComplete,RecipeItemFlags,Ingredient1ID,Ingredient1Quantity,Ingredient2ID,Ingredient2Quantity,Ingredient3ID,Ingredient3Quantity,Ingredient4ID,Ingredient4Quantity,CatalystID,Result1ID,Result1Quantity,Result2ID,Result2Quantity,Result3ID,Result3Quantity,Result4ID,Result4Quantity,Result1Weight,Result2Weight,Result3Weight,Result4Weight,ThrallRecipeFeatRequirement,IsThrallMachineRecipe,IsRecipeEnabled,MapMarkerIcon,ExilesJourneyTrigger,DLCPackage
4150, Sign (Alchemist),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_alchemy.png ,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4150,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4151, Sign (Blacksmith),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_blacksmith.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4151,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4152, Sign (Armorsmith),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_armorsmith.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4152,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4153, Sign (Smeltery),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_forge.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4153,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4154, Sign (Tannery),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_tannery.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4154,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4155, Sign (Prison),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_prison.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4155,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4156, Sign (Farm),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_planter.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4156,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4157, Sign (Cook),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_cooking.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4157,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4158, Sign (Tavern),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_tavern.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4158,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4159, Standing Sign (Alchemist),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_alchemy.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4159,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4160, Standing Sign (Blacksmith),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_blacksmith.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4160,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4161, Standing Sign (Armorsmith),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_armorsmith.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4161,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4162, Standing Sign (Smeltery),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_forge.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4162,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4163, Standing Sign (Tannery),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_tannery.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4163,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
4164, Standing Sign (Prison),A sign made out of wood,Decoration,10,3,50,18512,0,https://conanexilesmap.com/conanexilesdb/Icons/icon_sign_standing_prison.png,None,FALSE,0,11108,10,14174,5,0,0,0,0,0,4164,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,None,None,None
